[GIN] 2026/06/02 - 14:45:05 | 200 |       530.4µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:45:05 | 200 |       516.8µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:45:05 | 200 |       517.8µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:45:05 | 200 |    149.8428ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:45:05 | 200 |      5.4416ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:45:06 | 200 |      5.7975ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:45:06 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:45:27 | 200 |       517.1µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:45:27 | 200 |         516µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:45:27 | 200 |       505.1µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:45:28 | 200 |     86.9183ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:45:28 | 200 |      5.6442ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:45:28 | 200 |      4.9484ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:45:28 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:45:31 | 200 |     73.3122ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:45:31 | 200 |      5.2197ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:45:31 | 200 |      6.2091ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:45:31 | 200 |      4.7654ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:48:42 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:49:56 | 200 |       514.7µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:49:56 | 200 |      1.0853ms |       127.0.0.1 | GET      "/api/model-types"
